YNL024C	GO:0005737
YML051W	GO:0005737
YMR169C	GO:0005737
YDL129W	GO:0005737
YLR016C	GO:0005737
YDL029W	GO:0005737
YMR173W	GO:0005737
YHR136C	GO:0005737
YPL199C	GO:0005737
YBR129C	GO:0005737
YOR292C	GO:0005737
YPL273W	GO:0005737_E
YJL126W	GO:0005737_E
YMR038C	GO:0005737_E
YPL110C	GO:0005737_E
YGR088W	GO:0005737_E
YBR208C	GO:0005737_E
YGR017W	GO:0005737_E
YNL024C	GO:0005737_E
YML051W	GO:0005737_E
YMR169C	GO:0005737_E
YDL129W	GO:0005737_E
YLR016C	GO:0005737_E
YDL029W	GO:0005737_E
YMR173W	GO:0005737_E
YHR136C	GO:0005737_E
YPL199C	GO:0005737_E
YBR129C	GO:0005737_E
YOR292C	GO:0005737_E
YDR524C	GO:0005737_D
YDL184C	GO:0005737_D
YER079W	GO:0005737_D
YCR019W	GO:0005737_D
YHR104W	GO:0005737_D
YJR078W	GO:0005737_D
YMR175W	GO:0005737_D
YBR020W	GO:0005737_D
YMR258C	GO:0005737_D
YOL057W	GO:0005737_D
YDR106W	GO:0005737_D
YDR031W	GO:0005737_D
YLR189C	GO:0005737_D
YLR257W	GO:0005737_D
YNL134C	GO:0005737_D
YIR027C	GO:0005737_D
YOR129C	GO:0005737_D
YDL238C	GO:0005737_D
YBR046C	GO:0005737_D
YGR197C	GO:0005737_D
YNL078W	GO:0005737_C
YLR254C	GO:0005737_C
YKL216W	GO:0005737_C
YGR052W	GO:0005737_C
YHR179W	GO:0005737_C
YLR262C-A	GO:0005737_C
YMR178W	GO:0005737_C
YML079W	GO:0005737_C
YMR250W	GO:0005737_C
YOR022C	GO:0005737_C
YBR020W	GO:0005737_C
YPL064C	GO:0005737_C
YKR041W	GO:0005737_C
YMR176W	GO:0005737_C
YOR280C	GO:0005737_C
YMR280C	GO:0005737_C
YJL100W	GO:0005737_C
YMR175W	GO:0005737_B
YOR350C	GO:0005737_B
YNL217W	GO:0005737_B
YMR283C	GO:0005737_B
YLR341W	GO:0005737_B
YMR095C	GO:0005737_B
YNL015W	GO:0005737_B
YLR227C	GO:0005737_B
YFR047C	GO:0005737_B
YHL014C	GO:0005737_B
YJR096W	GO:0005737_B
YPR147C	GO:0005737_B
YKL069W	GO:0005737_B
YFL021W	GO:0005737_B
YLR090W	GO:0005737_B
YMR020W	GO:0005737_B
YJR133W	GO:0005737_B
YJR025C	GO:0005737_B
YGL159W	GO:0005737_B
YDL184C	GO:0005737_B
YHR182W	GO:0005737_B
YDL189W	GO:0005737_A
YLR094C	GO:0005737_A
YPL192C	GO:0005737_A
YDR034W-B	GO:0005737_A
YNL210W	GO:0005737_A
YLR231C	GO:0005737_A
YBR212W	GO:0005737_A
YDL086W	GO:0005737_A
YGL170C	GO:0005737_A
YHR035W	GO:0005737_A
YBR149W	GO:0005737_A
YLR271W	GO:0005737_A
YMR111C	GO:0005737_A
YBR188C	GO:0005681
YHR156C	GO:0005681
YPL064C	GO:0005681
YLR016C	GO:0005681
YPL192C	GO:0005635
YHR195W	GO:0005635
YNL012W	GO:0005628
YBR212W	GO:0000932
YDL197C	GO:0000781
YLR271W	GO:0000776
YDR254W	GO:0000776
YDR383C	GO:0000776
YLR315W	GO:0000776
YDR374W-A	GO:0000776
YDR254W	GO:0000775
YDR383C	GO:0000775
YLR315W	GO:0000775
YDR374W-A	GO:0000775
YKR030W	GO:0000139
